facility_code,unit_code,fueltech_id,status_id,capacity_registered,capacity_maximum,capacity_storage,emissions_factor_co2,data_first_seen,data_last_seen,dispatch_type,commencement_date,commencement_date_specificity,commencement_date_display,closure_date,closure_date_specificity,closure_date_display,expected_operation_date,expected_operation_date_specificity,expected_operation_date_display,expected_closure_date,expected_closure_date_specificity,expected_closure_date_display,construction_start_date,construction_start_date_specificity,construction_start_date_display,project_approval_date,project_approval_date_specificity,project_approval_date_display,project_lodgement_date,created_at,updated_at
SWAN_B,SWAN_A_1,gas_ocgt,retired,66.0,NA,NA,0.8715,1998-12-07 06:35:00+10:00,2002-05-14 19:00:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:23+00:00,2024-09-05 02:45:09+00:00
SWAN_E,SWAN_E,gas_ccgt,operating,385.0,385.0,NA,0.401,2002-05-21 10:55:00+10:00,2025-10-31 22:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:23+00:00,2025-10-13 05:54:37+00:00
TABMILL2,TABMILL2,bioenergy_biomass,operating,24.0,17.0,NA,0.0201,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:23+00:00,2025-01-07 03:48:20+00:00
TAHMOOR,TAHMOOR1,gas_wcmg,operating,7.04,7.0,NA,0.5689,NA,NA,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:23+00:00,2025-09-09 04:26:26+00:00
TBSF,TBSF1,solar_utility,operating,108.0,95.0,NA,NA,2019-02-28 12:55:00+10:00,2025-11-01 08:05:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:24+00:00,2025-01-07 03:52:52+00:00
TB2SF,TB2B1,battery,operating,50.0,41.0,84.0,NA,2024-12-03 14:05:00+10:00,2025-11-01 12:35:00+10:00,BIDIRECTIONAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-12-01 22:34:42+00:00,2025-01-07 03:56:24+00:00
TB2SF,TB2SF1,solar_utility,operating,105.0,87.0,NA,NA,2023-08-25 09:05:00+10:00,2025-11-01 12:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:24+00:00,2025-01-07 03:54:20+00:00
TB2SF,TB2BL1,battery_discharging,operating,50.0,41.0,84.0,NA,2024-07-03 09:25:00+10:00,2025-11-01 12:35:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:24+00:00,2025-01-07 03:56:14+00:00
TB2SF,TB2BG1,battery_charging,operating,50.0,41.0,84.0,NA,2023-10-27 13:25:00+10:00,2025-11-01 12:30:00+10:00,LOAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:24+00:00,2025-01-07 03:56:03+00:00
TALLAWAR,TALWA1,gas_ccgt,operating,440.0,480.0,NA,0.3718,2008-10-14 08:10:00+10:00,2025-10-30 22:15:00+10:00,GENERATOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 04:35:23+00:00,2025-10-13 04:32:32+00:00
